month	expected	known	missing	prev_last_id	next_first_id	candidate_start	candidate_end	known_id_min	known_id_max
2012-01	4	2	2	103	143	104	142	98	107
2012-07	12	10	2	646	783	647	782	689	765
2012-09	11	10	1	880	1100	881	1099	896	1061
2012-10	19	14	5	1061	1473	1062	1472	1100	1394
2012-11	13	7	6	1394	1527	1395	1526	1473	1572
2013-01	12	8	4	1723	1899	1724	1898	1748	1846
2013-02	14	11	3	1846	2138	1847	2137	1899	2011
2013-03	11	1	10	2011	2235	2012	2234	2138	2138
2013-04	23	14	9	2138	2527	2139	2526	2235	2498
2013-05	16	4	12	2498	2837	2499	2836	2527	2751
2013-06	14	11	3	2751	2978	2752	2977	2837	2971
2013-07	23	17	6	2971	3354	2972	3353	2978	3321
2013-08	19	12	7	3321	3721	3322	3720	3354	3697
2013-09	14	6	8	3697	3861	3698	3860	3721	3845
2013-10	19	12	7	3845	4103	3846	4102	3861	4070
2013-11	22	2	20	4070	4374	4071	4373	4103	4129
2013-12	22	4	18	4129	4770	4130	4769	4374	4525
2014-01	15	2	13	4525	4903	4526	4902	4770	4785
2014-02	23	13	10	4785	5141	4786	5140	4903	5078
2014-03	19	6	13	5078	5290	5079	5289	5141	5254
2014-04	21	11	10	5254	5432	5255	5431	5290	5446
2014-05	17	13	4	5446	5704	5447	5703	5432	5684
2014-06	15	7	8	5684	5883	5685	5882	5704	5812
2014-07	17	8	9	5812	5975	5813	5974	5883	6016
2014-08	15	13	2	6016	6147	6017	6146	5975	6169
2014-09	16	9	7	6169	6399	6170	6398	6147	6324
2014-10	21	15	6	6324	6665	6325	6664	6399	6635
2014-11	19	11	8	6635	6849	6636	6848	6665	6825
2014-12	11	10	1	6825	6646	6826	6645	6849	6926
2015-01	16	13	3	6926	7063	6927	7062	6646	7059
2015-03	16	15	1	7141	7265	7142	7264	7111	7271
2015-05	14	13	1	7403	7575	7404	7574	7412	7524
2015-06	8	3	5	7524	7619	7525	7618	7575	7600
2015-08	15	14	1	7690	7847	7691	7846	7704	7832
2015-09	11	3	8	7832				7847	7885
2015-10	11	0	11	7885	7935	7886	7934		
2015-11	15	12	3		8200			7935	8208
2016-01	11	10	1	8316	8385	8317	8384	8095	8432
2016-03	18	17	1	8538	8520	8539	8519	8498	8682
2016-05	11	10	1	8766	8847	8767	8846	8722	8832
